line_id,category,speaker,text
an_warmup,match,ANNOUNCER,"All pilots ready. Stand by to drop."
an_countdown,match,ANNOUNCER,"Three. Two. One. Engage."
an_live,match,ANNOUNCER,"Weapons free. The match is live."
an_60s,match,ANNOUNCER,"Sixty seconds remaining."
an_10s,match,ANNOUNCER,"Ten seconds."
an_end,match,ANNOUNCER,"Match complete. Stand down."
an_win,match,ANNOUNCER,"Victory."
an_loss,match,ANNOUNCER,"Defeat."
an_draw,match,ANNOUNCER,"Drawn. No victor today."
an_ot,match,ANNOUNCER,"Overtime. Two minutes. Sudden death."
an_mode_dm,mode,ANNOUNCER,"Deathmatch. Damage scores, kills pay bonus."
an_mode_tdm,mode,ANNOUNCER,"Team deathmatch. Pool your fire."
an_mode_ctf,mode,ANNOUNCER,"Capture the flag. Steal it, run it home."
an_mode_koth,mode,ANNOUNCER,"King of the hill. Hold the ring."
an_mode_escort,mode,ANNOUNCER,"Escort. Protect your V I P."
an_mode_beacon,mode,ANNOUNCER,"Steal the beacon. Carry it, keep it."
an_first,score,ANNOUNCER,"First blood."
an_kill,score,ANNOUNCER,"Machine down."
an_rampage,score,ANNOUNCER,"That pilot is on a rampage."
an_lead,score,ANNOUNCER,"Lead change."
an_tie,score,ANNOUNCER,"Scores level."
an_close,score,ANNOUNCER,"Score target within reach."
an_matchpoint,score,ANNOUNCER,"Match point."
an_flag_taken,objective,ANNOUNCER,"Enemy flag taken."
an_flag_own,objective,ANNOUNCER,"Your flag is taken."
an_flag_drop,objective,ANNOUNCER,"Flag down."
an_flag_return,objective,ANNOUNCER,"Flag returned."
an_flag_cap,objective,ANNOUNCER,"Flag captured."
an_hill_own,objective,ANNOUNCER,"Hill secured."
an_hill_lost,objective,ANNOUNCER,"Hill lost."
an_hill_cont,objective,ANNOUNCER,"Hill contested."
an_hill_move,objective,ANNOUNCER,"The hill is moving."
an_vip_down,objective,ANNOUNCER,"V I P down. Round over."
an_vip_fire,objective,ANNOUNCER,"V I P under fire."
an_beacon_up,objective,ANNOUNCER,"Beacon secured. Carrier moving."
an_beacon_drop,objective,ANNOUNCER,"Beacon down."
an_beacon_reset,objective,ANNOUNCER,"Beacon reset."
an_carrier_down,objective,ANNOUNCER,"Carrier destroyed."
an_bounds,match,ANNOUNCER,"Return to the field. Now."
an_join,match,ANNOUNCER,"A new machine walks."
bc_respawn5,batcom,BATCOM,"Respawn in five."
bc_refit,batcom,BATCOM,"Refit complete. Back in the fight."
bc_lead,batcom,BATCOM,"You have the lead."
bc_lead_lost,batcom,BATCOM,"Lead lost."
bc_matchpoint,batcom,BATCOM,"Match point. One more."
bc_beacon,batcom,BATCOM,"Beacon acquired."
bc_flag,batcom,BATCOM,"Flag acquired. Jump jets offline."
bc_carrier_heat,batcom,BATCOM,"Carrier heat penalty active."
bc_obj_drop,batcom,BATCOM,"Objective dropped."
bc_final_min,batcom,BATCOM,"Final minute."
bc_rampage_warn,batcom,BATCOM,"Enemy rampage. Be advised."
pk_spotted,bark,PACK,"Enemy spotted."
pk_atk_a,bark,PACK,"Attacking NAV Alpha."
pk_atk_b,bark,PACK,"Attacking NAV Bravo."
pk_def_a,bark,PACK,"Defending NAV Alpha."
pk_def_b,bark,PACK,"Defending NAV Bravo."
pk_backup,bark,PACK,"Need backup!"
pk_fallback,bark,PACK,"Fall back!"
pk_aff,bark,PACK,"Affirmative."
pk_neg,bark,PACK,"Negative."
pk_thanks,bark,PACK,"Appreciated."
pk_sorry,bark,PACK,"My fault. Sorry!"
pk_low_armor,bark,PACK,"Armor's stripped. I'm thin!"
pk_overheat,bark,PACK,"Overheating. Venting now!"
pk_kill,bark,PACK,"Kill confirmed."
pk_flank,bark,PACK,"On your flank!"
pk_rockets,bark,PACK,"Rockets inbound!"
pk_regroup,bark,PACK,"Regrouping."
pk_cover,bark,PACK,"Covering you."
pk_escort,bark,PACK,"Escort the carrier!"
pk_hold,bark,PACK,"Hold the hill!"
