line_id,stage,speaker,trigger,text,ipa_notes
vo_t00_010_ekene,0,EKENE,state_enter,"Compact actual to Lodestar. Before I hand you a war, you get one quiet morning. This is Saltglass Cove — my range, my rules. That Skarn under you is patched, fueled, and safetied. Do exactly as I say, and by sundown we will both pretend you were born in that cockpit.","Ekene = eh-KEH-neh; Skarn = SKARN (one syllable)"
vo_t00_020_relay,0,RELAY,after_litany,"Range is green, the boards are patched, and I have rebuilt those barricades twice this week already. Be gentle with my handiwork, Lodestar.",
vo_t00_030_cairn,0,CAIRN,safeties_on,"Training safeties engaged. Hull integrity simulated.",
vo_t01_010_ekene,1,EKENE,state_enter,"Feet first, guns later. W and S run the throttle, A and D steer the legs. Thread the barricade lane and put yourself on NAV ALPHA. Scrape my paint and you repaint it.",
vo_t01_020_ekene,1,EKENE,hint_1,"Throttle, Lodestar. The machine will not walk itself.",
vo_t01_030_ekene,1,EKENE,success,"Clean lane. Maybe there is a pilot in there after all.",
vo_t02_010_ekene,2,EKENE,state_enter,"Torso and legs are two different animals. Legs walk the line — the torso does the aiming. The mouse steers your reticle, and C squares you back up. Walk on, and keep that reticle pinned to the drill drone. Five seconds. Do not blink.",
vo_t02_020_ekene,2,EKENE,hint_1,"Keep walking. Aim with the mouse — let your hips and your hands do different jobs.",
vo_t02_030_ekene,2,EKENE,success,"Held it. Hips point the walk, hands point the guns. Never confuse the two in a fight.",
vo_t03_010_ekene,3,EKENE,state_enter,"Three dead hulks out on the flat. Your sensors see them long before your eyes do. R cycles targets, T grabs whatever is under your reticle, and E picks the piece of them you want to hurt. Lock all three and read their damage boards.",
vo_t03_020_cairn,3,CAIRN,lock_acquired,"Target lock confirmed.",
vo_t03_030_ekene,3,EKENE,success,"Good. That readout tells you where a machine is already bleeding. Shoot machines where they are bleeding.",
vo_t04_010_ekene,4,EKENE,state_enter,"Boards up! Group one is your cannon, group two the laser, group three the rockets. Drop all four boards — and use at least two different weapon groups doing it.",
vo_t04_020_relay,4,RELAY,banter,"I spent a whole afternoon on those silhouettes, so — no, actually, shred them. That is the job.",
vo_t04_030_ekene,4,EKENE,hint_1,"Different groups, Lodestar. One, two, three — the laser bills you in heat, the cannon and rockets bill you in ammunition.",
vo_t04_040_ekene,4,EKENE,success,"Four for four. Ammunition runs out and heat always comes back — know which bill you are paying before you pull the trigger.",
vo_t05_010_ekene,5,EKENE,state_enter,"Now the lesson that kills the careless. Cycle every trigger — one, two, three, again and again — until the heat runs past the warning line. When the klaxon sounds, flush coolant — F — and feel the machine come back to you.",
vo_t05_020_cairn,5,CAIRN,flush_engaged,"Coolant flush engaged.",
vo_t05_030_ekene,5,EKENE,flush_done,"Again — but this time ride it all the way down into shutdown, and hold O to override the restart. It costs the machine. One day it will buy your life.",
vo_t05_040_ekene,5,EKENE,success,"Heat is a debt, Lodestar. Flush early. Override never — unless the alternative is dying.",
vo_t06_010_ekene,6,EKENE,state_enter,"The derelict at NAV CHARLIE owes nobody anything. Press E and pick its right arm off the damage board. Take the arm — then punch out the center torso.",
vo_t06_020_ekene,6,EKENE,success,"See what it is without an arm? Strip the weapon before you strip the life. Legs work too — a legged machine is salvage, and salvage wins this war.",
vo_t07_010_ekene,7,EKENE,state_enter,"Jump jets. Hold SPACE, watch the fuel, and mind the heat they pour on. Put yourself up on the shelf at NAV BRAVO.",
vo_t07_020_ekene,7,EKENE,success,"High ground is a weapon that points both ways — up there you see everything, and everything sees you. Use it. Do not live on it.",
vo_t08_010_cairn,8,CAIRN,safeties_off,"Training safeties disengaged. Live fire.",
vo_t08_020_ekene,8,EKENE,state_enter,"Last lesson. Relay is taking the range Gabbro up — live rounds, both directions. Fight it like you mean it, and stand down when it yields.","Gabbro = GAB-roh"
vo_t08_030_relay,8,RELAY,spar_start,"Try not to embarrass me in front of the commander, Lodestar. Actually — do. I will dine on the story either way.",
vo_t08_040_relay,8,RELAY,yield,"Yield! Yield — powering down. That is... yeah. That is a pilot.",
vo_t08_050_ekene,8,EKENE,graduation,"Enough. You will do, Lodestar. Get some sleep — tomorrow night we steal you a real one. Welcome to the Compact.",
vo_tgen_010_ekene,99,EKENE,timeout_advance,"We will drill that one again another day. Moving on.",
vo_tgen_020_cairn,99,CAIRN,stage_reset,"Stage reset.",
vo_tgen_030_cairn,99,CAIRN,tutorial_complete,"Training complete. All boards green.",
